จังหวัด,เขตเลือกตั้ง,เขต,สถานที่เลือกตั้งกลาง,รวมจำนวน,จำนวนชุด,อาคาร,จำนวนเต็นท์,การเดินทาง.ที่จอดรถ,เดินทาง.รถไฟฟ้าใต้ดิน,การเดินทาง.รถโดยสารประจำทาง,การเดินทาง.เรือโดยสาร,การเดินทาง.note,การเดินทาง.images,แผนผังการเลือกตั้ง.images,แผนผังการเลือกตั้ง.clips
กรุงเทพมหานคร,14,บางกะปิ,บริเวณพื้นที่โครงการตะวันนาบางกะปิ (ตะวันนา 2) แขวงคลองจั่น,58684,117,0,234,,,,,,กรุงเทพ_บางกะปิ_1.jpg,,
กรุงเทพมหานคร,15,บึงกุ่ม,บริเวณสำนักงานเขตบึงกุ่ม แขวงคลองกุ่ม,10094,20,0,40,,,,,,กรุงเทพ_บึงกุ่ม_1.jpg,"กรุงเทพ_บึงกุ่ม_1.jpg, กรุงเทพ_บึงกุ่ม_2.jpg",
กรุงเทพมหานคร,15,คันนายาว,บริเวณสำนักงานเขตคันนายาว แขวงคันนายาว,10764,22,0,44,,,,,,"กรุงเทพ_คันนายาว_1.jpg, กรุงเทพ_คันนายาว_2.jpg",,
กรุงเทพมหานคร,16,คลองสามวา,บริเวณลานจอดรถสำนักงานเขตคลองสามวา แขวงบางชัน,14353,29,0,58,,,,,,กรุงเทพ_คลองสามวา_1.jpg,กรุงเทพ_คลองสามวา_1.jpg,
กรุงเทพมหานคร,17,หนองจอก,บริเวณโรงเรียนวัดหนองจอก (ภักดีนรเศรษฐ) แขวงกระทุ่มราย,9698,19,0,38,,,,,,กรุงเทพ_คลองสามวา_1.jpg,,
กรุงเทพมหานคร,18,มีนบุรี,บริเวณวัดใหม่ลำนกแขวก แขวงแสนแสบ,9138,18,0,36,,,,,,กรุงเทพ_มีนบุรี_1.jpg,,
กรุงเทพมหานคร,19,สะพานสูง,บริเวณลานจอดรถ สำนักงานเขตสะพานสูง และศูนย์นันทนาการสะพานสูง,9642,19,0,38,,,,,,กรุงเทพ_สะพานสูง _1.jpg,,
กรุงเทพมหานคร,20,ลาดกระบัง,บริเวณลานจอดรถสำนักงานเขตลาดกระบัง (ชั่วคราว) ระหว่างซอย 54 กับซอย 56,38548,77,0,154,,,,,,,,
กรุงเทพมหานคร,21,ประเวศ,มหาวิทยาลัยรามคำแหง 2 แขวงดอกไม้,19490,39,0,78,,,,,,กรุงเทพ_ประเวศ_1.jpg,,
กรุงเทพมหานคร,22,สวนหลวง,บริเวณสำนักงานเขตสวนหลวง แขวงพัฒนาการ,23304,47,0,94,,,,,,กรุงเทพ_สวนหลวง _1.jpg,,
กรุงเทพมหานคร,23,พระโขนง,โรงเรียนพระโขนงพิทยาลัย แขวงพระโขนงใต้,17992,36,0,72,,,,,,กรุงเทพ_พระโขนง_1.jpg,,
กรุงเทพมหานคร,23,บางนา,บริเวณถนนด้านหน้าสำนักงานเขตบางนา แขวงบางนาเหนือ,25567,51,0,102,,,,,,,,
กรุงเทพมหานคร,24,คลองสาน,บริเวณสวนป่าเฉลิมพระเกียรติใต้สะพานสมเด็จพระเจ้าตากสินมหาราช,11792,24,0,48,,,,,,"กรุงเทพ_คลองสาน_1.jpg, กรุงเทพ_คลองสาน_2.jpg, กรุงเทพ_คลองสาน_3.jpg",กรุงเทพ_คลองสาน_1.jpg,
กรุงเทพมหานคร,25,ราษฎร์บูรณะ,สำนักงานเขตราษฎร์บูรณะ แขวงราษฎร์บูรณะ,7760,16,0,32,,,,,,,,
กรุงเทพมหานคร,25,ทุ่งครุ,ศูนย์กีฬาเฉลิมพระเกียรติ ฯ (บางมด) แขวงบางมด,10812,22,0,44,,,,,,กรุงเทพ_ทุ่งครุ_1.jpg,,
กรุงเทพมหานคร,26,จอมทอง,บริเวณสำนักงานเขตจอมทอง แขวงบางมด,7672,15,0,30,,,,,,,,
กรุงเทพมหานคร,27,บางขุนเทียน,ห้องพระราม 2 ฮอลล์ ชั้น 4 ศูนย์การค้าเซ็นทรัลพลาซา พระราม 2,25737,51,0,102,,,,,,,,
กรุงเทพมหานคร,28,บางบอน,วิทยาลัยเทคนิคราชสิทธาราม แขวงบางบอนเหนือ,7339,15,0,30,,,,,,กรุงเทพ_บางบอน_1.jpg,กรุงเทพ_บางบอน_1.jpg,
กรุงเทพมหานคร,29,หนองแขม,บริเวณสำนักงานเขตหนองแขม แขวงหนองค้างพลู,11885,24,0,48,,,,,,,,
กรุงเทพมหานคร,30,ภาษีเจริญ,บริเวณลานจอดรถด้านหลังอาคารสำนักงานเขตภาษีเจริญ แขวงบางหว้า ,13475,27,0,54,,,,,,,,
กรุงเทพมหานคร,30,บางแค,บริเวณด้านหน้าและด้านข้างสำนักงานเขตบางแค แขวงบางแค,13692,27,0,54,,,,,,,,
กรุงเทพมหานคร,31,ตลิ่งชัน,บริเวณสำนักงานเขตตลิ่งชัน แขวงคลองชักพระ,7634,15,0,30,,,,,,กรุงเทพ_ตลิ่งชัน_1.jpg,กรุงเทพ_ตลิ่งชัน_1.jpg,
กรุงเทพมหานคร,31,ทวีวัฒนา,บริเวณสำนักงานเขตทวีวัฒนา แขวงทวีวัฒนา,10383,21,0,42,,,,,,กรุงเทพ_ทวีวัฒนา_1.jpg,,
กรุงเทพมหานคร,32,บางกอกใหญ่,บริเวณวิทยาลัยเทคโนโลยีสยาม แขวงวัดท่าพระ,8836,18,0,36,,,,,,กรุงเทพ_บางกอกใหญ่_1.jpg,กรุงเทพ_บางกอกใหญ่_1.jpg,
กรุงเทพมหานคร,32,ธนบุรี,ศูนย์นันทนาการวัดเวฬุราชิณ แขวงบางยี่เรือ,12659,25,0,50,,,,,,กรุงเทพ_ธนบุรี_1.jpg,,
กรุงเทพมหานคร,33,บางกอกน้อย,บริเวณลานเอนกประสงค์ สำนักงานเขตบางกอกน้อย แขวงบางขุนนนท์,17711,35,0,70,,,,,,กรุงเทพ_บางกอกน้อย_1.jpg,,https://www.facebook.com/reel/761282496475276
กรุงเทพมหานคร,33,บางพลัด,บริเวณใต้สะพานพระราม 8 (ฝั่งธนบุรี) แขวงบางยี่ขัน,19177,38,0,76,,,,,,กรุงเทพ_บางพลัด_1.jpg,กรุงเทพ_บางพลัด_1.jpg,
จังหวัดกระบี่,1,,หอประชุมโรงเรียนอนุบาลกระบี่ (ท่าเรือ),4688,9,1,18,,,,,,,,
จังหวัดกระบี่,2,,หอประชุมโรงเรียนอ่าวลึกประชาสรรค์,738,1,1,-,,,,,,,,
จังหวัดกระบี่,3,,หอประชุมโรงเรียนคลองท่อมราษฎร์รังสรรค์ อำเภอคลองท่อม,1148,2,1,-,,,,,,,,
จังหวัดกาญจนบุรี,1,,ศาลา 60 พรรษามหาราช,5522,11,0,22,,,,,,,,
จังหวัดกาญจนบุรี,2,,หอประชุมอำเภอท่าม่วง (สโมสรอำเภอท่าม่วง),2532,5,1,10,,,,,,,,
จังหวัดกาญจนบุรี,3,,ศาลาประชาคมอำเภอท่ามะกา,1212,2,0,4,,,,,,,,
จังหวัดกาญจนบุรี,4,,ศาลาประชาคมอำเภอเลาขวัญ,425,1,0,2,,,,,,,,
จังหวัดกาญจนบุรี,5,,หอประชุมอำเภอไทรโยค,1166,2,1,4,,,,,,,,
จังหวัดกาฬสินธุ์,1,,หอประชุมเฉลิมพระเกียรติ 80 พรรษามหาราชา,1502,3,1,6,,,,,,,,
จังหวัดกาฬสินธุ์,2,,หอประชุมอำเภอยางตลาด,415,1,1,1,,,,,,,,
จังหวัดกาฬสินธุ์,3,,หอประชุมอำเภอหนองกุงศรี,261,1,1,1,,,,,,,,
จังหวัดกาฬสินธุ์,4,,อาคารอเนกประสงค์ ที่ว่าการอำเภอสมเด็จ,954,2,1,2,,,,,,,,
จังหวัดกาฬสินธุ์,5,,หอประชุมอำเภอกมลาไสย,325,1,1,1,,,,,,,,
จังหวัดกาฬสินธุ์,6,,หอประชุมอำเภอกุฉินารายณ์,579,1,1,1,,,,,,,,
จังหวัดกำแพงเพชร,1,,ศาลาอเนกประสงค์วัดพระบรมธาตุ พระอารามหลวง,3009,6,1,0,,,,,,,,
จังหวัดกำแพงเพชร,2,,โดมเจ้าคุณทองดี โรงเรียนพรานกระต่ายพิทยาคม,594,1,1,0,,,,,,,,
จังหวัดกำแพงเพชร,3,,โดมหน้าที่ทำการองค์การบริหารส่วนตำบลคลองขลุง,1028,2,1,0,,,,,,,,
จังหวัดกำแพงเพชร,4,,หอประชุมเฉลิมพระเกียรติ 80 พรรษา,512,1,1,0,,,,,,,,
จังหวัดขอนแก่น,1,,ศูนย์ประชุมและแสดงสินค้านานาชาติขอนแก่น (ไคซ์),17815,36,1,46,,,,,,,,
จังหวัดขอนแก่น,2,,หอประชุมโรงเรียนขามแก่นนคร,14266,29,1,20,,,,,,,,
จังหวัดขอนแก่น,3,,หอประชุมอำเภอกระนวน,371,1,1,1,,,,,,,,
จังหวัดขอนแก่น,4,,หอประชุม 100 ปี อำเภอน้ำพอง,892,2,1,1,,,,,,,,
จังหวัดขอนแก่น,5,,หอประชุมอำเภอภูเวียง,429,1,1,1,,,,,,,,
จังหวัดขอนแก่น,6,,หอประชุมอำเภอชุมแพ,1342,3,1,2,,,,,,,,
จังหวัดขอนแก่น,7,,หอประชุมอำเภอหนองเรือ,519,1,1,1,,,,,,,,
จังหวัดขอนแก่น,8,,หอประชุมอำเภอมัญจาคีรี,345,1,1,1,,,,,,,,
จังหวัดขอนแก่น,9,,หอประชุมอำเภอพล,677,1,1,1,,,,,,,,
จังหวัดขอนแก่น,10,,หอประชุมอำเภอหนองสองห้อง,243,1,1,1,,,,,,,,
จังหวัดขอนแก่น,11,,หอประชุมอำเภอบ้านไผ่,954,2,1,1,,,,,,,,
จังหวัดจันทบุรี,1,,อาคารอเนกประสงค์เทศบาลตำบลพลับพลานารายณ์,6488,13,1,26,,,,,,,,
จังหวัดจันทบุรี,2,,"อาคารอเนกประสงค์ โรงเรียนท่าใหม่ ""พูลสวัสดิ์ราษฎร์นุกูล""",3256,7,1,14,,,,,,,,
จังหวัดจันทบุรี,3,,ศาลาวัดโป่งโรเซ็น,1206,2,1,4,,,,,,,,
จังหวัดฉะเชิงเทรา,1,,อาคารศาลาจัตุรมุข และสนามบริเวณโดยรอบ หน้าศาลากลางจังหวัด,9591,19,1,40,,,,,,,,
จังหวัดฉะเชิงเทรา,2,,หอประชุมอำเภอบางน้ำเปรี้ยว (หลังใหม่) ที่ว่าการอำเภอบางน้ำเปรี้ยว,1067,2,1,2,,,,,,,,
จังหวัดฉะเชิงเทรา,3,,หอประชุมอำเภอพนมสารคาม ที่ว่าการอำเภอพนมสารคาม,4132,8,1,8,,,,,,,,
จังหวัดฉะเชิงเทรา,4,,หอประชุมอำเภอบางปะกง และบริเวณลานหน้าที่ว่าการอำเภอบางปะกง,10791,22,1,44,,,,,,,,
จังหวัดชลบุรี,1,,บริเวณหน้าศาลากลางจังหวัดชลบุรี อำเภอเมืองชลบุรี,34001,68,0,50,,,,,,,,
จังหวัดชลบุรี,2,,ลานกีฬาในร่มเทศบาลนครบ้านสวน อำเภอเมืองชลบุรี,10521,21,0,18,,,,,,,,
จังหวัดชลบุรี,3,,อาคารโดมโรงเรียนพานทองสภาชนูปถัมภ์ อำเภอพานทอง,21612,43,1,0,,,,,,,,
จังหวัดชลบุรี,4,,"อาคารโดมโรงเรียนบ้านบึง ""อุตสาหกรรมนุเคราะห์"" อำเภอบ้านบึง",10926,22,1,0,,,,,,,,
จังหวัดชลบุรี,5,,หอประชุมสวนสาธารณะเฉลิมพระเกียรติเทศบาลเมืองพนัสนิคม อำเภอพนัสนิคม,5089,10,1,0,,,,,,,,
จังหวัดชลบุรี,6,,อาคารเรียนและอาคารโดมโรงเรียนเทศบาลบ้านศรีมหาราชา อำเภอศรีราชา,27075,54,1,12,,,,,,,,
จังหวัดชลบุรี,7,,บริเวณวัดพันเสด็จนอก อำเภอศรีราชา,26140,52,0,52,,,,,,,,
จังหวัดชลบุรี,8,,สนามกีฬาโรงเรียนเมืองพัทยา 2 อำเภอบางละมุง,7512,15,0,30,,,,,,,,
จังหวัดชลบุรี,8,,อาคารโดมโรงเรียนบางละมุง อำเภอบางละมุง,16054,32,1,64,,,,,,,,
จังหวัดชลบุรี,9,,อาคารโดมโรงเรียนเมืองพัทยา 7 อำเภอบางละมุง,10059,20,1,40,,,,,,,,
จังหวัดชลบุรี,10,,อาคารโดมโรงเรียนสิงห์สมุทร ฝั่งมัธยมปลาย อำเภอสัตหีบ,6818,14,1,28,,,,,,,,
จังหวัดชัยนาท,1,,โดมโรงเรียนชัยนาทพิทยาคม อำเภอเมืองชัยนาท,1909,4,0,8,,,,,,,,
จังหวัดชัยนาท,2,,โดมโรงเรียนหันคาพิทยาคม อำเภอหันคา,517,1,0,2,,,,,,,,
จังหวัดชัยภูมิ,1,,โดมสามเศียร มหาวิทยาลัยการกีฬาแห่งชาติ วิทยาเขตชัยภูมิ อำเภอเมืองชัยภูมิ,2319,5,1,6,,,,,,,,
จังหวัดชัยภูมิ,2,,อาคารศูนย์กีฬาเฉลิมพระเกียรติเทศบาลตำบลจัตุรัส อำเภอจัตุรัส,569,1,1,0,,,,,,,,
จังหวัดชัยภูมิ,3,,หอประชุมอำเภอบำเหน็จณรงค์,562,1,1,0,,,,,,,,
จังหวัดชัยภูมิ,4,,หอประชุมอำเภอหนองบัวแดง (หลังใหม่),401,1,1,0,,,,,,,,
จังหวัดชัยภูมิ,5,,อาคารอเนกประสงค์หน้าที่ว่าการอำเภอเกษตรสมบูรณ์,304,1,1,0,,,,,,,,
จังหวัดชัยภูมิ,6,,หอประชุมอำเภอภูเขียว,565,1,1,0,,,,,,,,
จังหวัดชัยภูมิ,7,,หอประชุมอำเภอแก้งคร้อ,435,1,1,0,,,,,,,,
จังหวัดชุมพร,1,,อาคาร 9 และอาคารอเนกประสงค์โดมเพื่องฟ้า โรงเรียนสอาดเผดิมวิทยา,3516,7,0,14,,,,,,,,
จังหวัดชุมพร,2,,หอประชุมอเนกประสงค์โรงเรียนท่าแซะรัชดาภิเษก อำเภอท่าแซะ,1343,3,0,6,,,,,,,,
จังหวัดชุมพร,3,,หอประชุมอำเภอหลังสวน,2014,4,0,8,,,,,,,,
จังหวัดเชียงราย,1,,หอประชุมกาสะลองคำ มหาวิทยาลัยราชภัฏเชียงราย,8584,17,1,10,,,,,,,,
จังหวัดเชียงราย,2,,อาคารพลเอกสำเภา ชูศรี(E๔) มหาวิทยาลัยแม่ฟ้าหลวง,8516,17,1,12,,,,,,,,
จังหวัดเชียงราย,3,,หอประชุมที่ว่าการอำเภอแม่สรวย,722,1,1,0,,,,,,,,
จังหวัดเชียงราย,4,,หอประชุมองค์การบริหารส่วนตำบลเมืองพาน,1096,2,1,0,,,,,,,,
จังหวัดเชียงราย,5,,หอประชุมที่ว่าการอำเภอขุนตาล,842,2,1,0,,,,,,,,
จังหวัดเชียงราย,6,,หอประชุมที่ว่าการอำเภอแม่สาย,1924,4,1,0,,,,,,,,
จังหวัดเชียงราย,7,,หอประชุมที่ว่าการอำเภอเชียงแสน,913,2,1,0,,,,,,,,
จังหวัดเชียงใหม่,1,,ศูนย์ประชุมและแสดงสินค้านานาชาติเฉลิมพระเกียรติ 7 รอบพระชนมพรรษา,50170,100,0,200,,,,,,,,
จังหวัดเชียงใหม่,2,,โรงเรียนสารภิพิทยาคม ตำบลยางเนิ้ง,5440,11,1,0,,,,,,,,
จังหวัดเชียงใหม่,3,,โรงเรียนบ้านหนองโค้ง ตำบลต้นเปา อำเภอสันกำแพง,6207,12,1,0,,,,,,,,
จังหวัดเชียงใหม่,4,,อาคารแม่พืช (โดมมหาวิทยาลัยแม่โจ้),13539,27,1,0,,,,,,,,
จังหวัดเชียงใหม่,5,,หอประชุมที่ว่าการอำเภอแม่ริม,4608,9,1,0,,,,,,,,
จังหวัดเชียงใหม่,6,,หอประชุมเทศบาลตำบลเชียงดาว อำเภอเชียงดาว,1303,3,1,0,,,,,,,,
จังหวัดเชียงใหม่,7,,อาคารมงคลศาลเจ้าฝาง,1907,4,1,0,,,,,,,,
จังหวัดเชียงใหม่,8,,อาคารอเนกประสงค์ สนามกีฬาเทศบาลตำบลสันผักหวาน อำเภอหางดง,6292,13,1,12,,,,,,,,
จังหวัดเชียงใหม่,9,,โรงเรียนศรีจอมทอง อำเภอจอมทอง,1054,2,1,4,,,,,,,,
จังหวัดเชียงใหม่,10,,หอประชุมเฉลิมพระเกียรติ ที่ว่าการอำเภอฮอด,532,1,1,0,,,,,,,,
จังหวัดตรัง,1,,อาคารอเนกประสงค์สวนสาธารณะสมเด็จพระศรีนครินทร์,2950,6,1,0,,,,,,,,
จังหวัดตรัง,2,,สนามแบดมินตัน อำเภอห้วยยอด,611,1,1,0,,,,,,,,
จังหวัดตรัง,3,,หอประชุมโรงเรียนสวัสดิ์รัตนาภิมุข,589,1,1,0,,,,,,,,
จังหวัดตรัง,4,,อาคารคอซิมบี้ เทศบาลเมืองกันตัง,418,1,1,0,,,,,,,,
จังหวัดตราด,1,,ศูนย์แสดงสินค้าองค์การบริหารส่วนจังหวัดตราด,3333,7,1,14,,,,,,,,
จังหวัดตาก,1,,อาคาร 111 ปี โรงเรียนตากพิทยาคม,2607,5,1,0,,,,,,,,
จังหวัดตาก,2,,ศูนย์กลางการแสดงสินค้าและศูนย์ประชุมเพื่อส่งเสริมการท่องเที่ยว,3148,6,1,0,,,,,,,,
จังหวัดตาก,3,,หอประชุมที่ว่าการอำเภอแม่ระมาด,1280,3,1,6,,,,,,,,
จังหวัดนครนายก,1,,โรงเรียนนครนายกวิทยาคม,3159,6,1,,,,,,,,,
จังหวัดนครนายก,2,,อาคารอเนกประสงค์ศูนย์กีฬาเทศบาลตำบลองครักษ์,3170,6,1,,,,,,,,,
จังหวัดนครปฐม,1,,ประรำหน้าอาคารอเนกประสงค์กองร้อยอาสารักษาดินแดนจังหวัดนครปฐม,1049,2,1,4,,,,,,,,
จังหวัดนครปฐม,2,,บริเวณองค์พระปฐมเจดีย์ ซุ้มพุทธมามกะ,12601,25,1,50,,,,,,,,
จังหวัดนครปฐม,3,,หอประชุมที่ทำการอำเภอกำแพงแสน,4845,10,1,20,,,,,,,,
จังหวัดนครปฐม,4,,หอประชุมศาลาประชาคมอำเภอบางเลน,1548,3,1,6,,,,,,,,
จังหวัดนครปฐม,5,,ประรำด้านข้างหอประชุมอำเภอนครชัยศรี,4865,10,0,20,,,,,,,,
จังหวัดนครปฐม,6,,อาคารปฏิบัติธรรมเฉลิมพระเกียรติ 84 พรรษา มหาราชา วัดไร่ขิงฝั่ง,12398,25,1,50,,,,,,,,
จังหวัดนครพนม,1,,หอประชุมอำเภอศรีสงคราม,545,1,1,0,,,,,,,,
จังหวัดนครพนม,2,,หอประชุมอำเภอท่าอุเทน,333,1,1,0,,,,,,,,
จังหวัดนครพนม,2,,ศาลาประชาคมยงใจยุทธ อำเภอเมืองนครพนม,2475,5,1,0,,,,,,,,
จังหวัดนครพนม,3,,หอประชุมโรงเรียนคำเตยอุปถัมภ์,233,1,1,0,,,,,,,,
จังหวัดนครพนม,3,,โดมวิทยาลัยธาตุพนม ม.นครพนม,757,2,1,0,,,,,,,,
จังหวัดนครพนม,4,,หอประชุมอำเภอปลาปาก,348,1,1,0,,,,,,,,
จังหวัดนครราชสีมา,1,,โคราช ฮอลล์ ชั้น 4 ศูนย์การค้าเซ็นทรัลพลาซานครราชสีมา อำเภอเมือง,20203,40,1,1,,,,,,,,
จังหวัดนครราชสีมา,2,,ศูนย์ฝึกอบรมตำรวจภูธร ภาค 3 อำเภอเมืองนครราชสีมา,2270,5,1,1,,,,,,,,
จังหวัดนครราชสีมา,3,,เทศบาลตำบลเมืองใหม่โคกกรวด อำเภอเมืองนครราชสีมา,2670,5,1,1,,,,,,,,
จังหวัดนครราชสีมา,4,,หอประชุมอำเภอสูงเนิน,1405,3,1,1,,,,,,,,
จังหวัดนครราชสีมา,5,,หอประชุมอำเภอโนนสูง,393,1,1,1,,,,,,,,
จังหวัดนครราชสีมา,6,,หอประชุมอำเภอบัวใหญ่,566,1,1,1,,,,,,,,
จังหวัดนครราชสีมา,7,,หอประชุมอำเภอประทาย,368,1,1,1,,,,,,,,
จังหวัดนครราชสีมา,8,,หอประชุมอำเภอพิมาย,744,1,1,1,,,,,,,,
จังหวัดนครราชสีมา,9,,หอประชุมอำเภอจักราช,317,1,1,1,,,,,,,,
จังหวัดนครราชสีมา,10,,หอประชุมอำเภอโชคชัย,1525,3,1,1,,,,,,,,
จังหวัดนครราชสีมา,11,,หอประชุมอำเภอหนองบุญมาก,412,1,1,1,,,,,,,,
จังหวัดนครราชสีมา,12,,หอประชุมอำเภอปักธงชัย,1241,2,1,1,,,,,,,,
จังหวัดนครราชสีมา,13,,หอประชุมมหาดไทย 100 ปี อำเภอสีคิ้ว,1243,2,1,1,,,,,,,,
จังหวัดนครราชสีมา,14,,ศาลาประชาคมเมืองปากช่อง,5722,11,1,1,,,,,,,,
จังหวัดนครราชสีมา,15,,หอประชุมอำเภอด่านขุนทด,703,1,1,1,,,,,,,,
จังหวัดนครราชสีมา,16,,หอประชุมอำเภอคง,321,1,1,1,,,,,,,,
จังหวัดนครศรีธรรมราช,1,,โรงเรียนกัลยาณีศรีธรรมราช (อาคารโดม) อำเภอเมืองนครศรีธรรมราช,4504,9,1,,,,,,,,,
จังหวัดนครศรีธรรมราช,2,,ศาลาประชาคมที่ว่าการอำเภอปากพนัง,569,1,1,,,,,,,,,
จังหวัดนครศรีธรรมราช,3,,ศาลาประชาคมที่ว่าการอำเภอเชียรใหญ่,364,1,1,,,,,,,,,
จังหวัดนครศรีธรรมราช,4,,หอประชุมโรงเรียนชะอวด อำเภอชะอวด,411,1,1,,,,,,,,,
จังหวัดนครศรีธรรมราช,5,,โรงยิมเนเซียมเทศบาลเมืองทุ่งสง อำเภอทุ่งสง,2199,4,1,,,,,,,,,
จังหวัดนครศรีธรรมราช,6,,โรงเรียนวัดท่ายาง อำเภอทุ่งใหญ่,580,1,1,,,,,,,,,
จังหวัดนครศรีธรรมราช,7,,ศาลาประชาคมที่ว่าการอำเภอช้างกลาง,597,1,1,,,,,,,,,
จังหวัดนครศรีธรรมราช,8,,หอประชุมอำเภอท่าศาลา,5252,11,1,,,,,,,,,
